Type,Air Temperature [°C],Process Temperature [°C],Rotational Speed [rpm],Torque [Nm],Tool Wear [min],Failure Type,DateTime,Failure Type Prediction,RUL_Power Failure,RUL_Tool Wear Failure,RUL_Overstrain Failure,RUL_Heat Dissipation Failure
L,30.650000000000034,40.150000000000034,1386.0,57.8,172.0,No Failure,2022-01-08 14:24:00,No Failure,8,62,10,576
L,25.55000000000001,36.650000000000034,1616.0,34.2,114.0,No Failure,2022-01-13 08:20:00,No Failure,6,60,8,574
L,27.650000000000034,37.05000000000001,1400.0,42.6,210.0,No Failure,2022-01-04 20:00:00,No Failure,4,58,6,572
H,27.150000000000034,36.650000000000034,1636.0,35.5,180.0,No Failure,2022-01-03 23:40:00,No Failure,2,56,4,570
L,26.950000000000045,36.650000000000034,1320.0,67.5,20.0,Power Failure,2022-01-04 14:36:00,Power Failure,38,54,2,568
L,25.55000000000001,36.35000000000002,1373.0,56.7,203.0,Overstrain Failure,2022-01-01 10:54:00,Overstrain Failure,36,52,516,566
H,27.55000000000001,37.05000000000001,1456.0,40.6,182.0,No Failure,2022-01-04 19:40:00,No Failure,34,50,514,564
L,29.950000000000045,39.35000000000002,1477.0,45.4,111.0,No Failure,2022-01-06 01:54:00,No Failure,32,48,512,562
L,28.350000000000023,37.150000000000034,1475.0,46.8,94.0,No Failure,2022-01-05 11:36:00,No Failure,30,46,510,560
M,24.650000000000034,35.75,1683.0,31.8,76.0,No Failure,2022-01-02 02:26:00,No Failure,28,44,508,558
L,25.25,36.650000000000034,1353.0,49.4,188.0,No Failure,2022-01-13 04:10:00,No Failure,26,42,506,556
H,25.25,36.150000000000034,1502.0,43.6,169.0,No Failure,2022-01-01 13:16:00,No Failure,24,40,504,554
M,26.05000000000001,35.650000000000034,1599.0,31.2,173.0,No Failure,2022-01-03 18:14:00,No Failure,22,38,502,552
L,26.05000000000001,36.150000000000034,1688.0,32.0,202.0,No Failure,2022-01-03 04:56:00,No Failure,20,36,500,550
M,31.650000000000034,40.650000000000034,1420.0,47.9,200.0,No Failure,2022-01-08 05:54:00,No Failure,18,34,498,548
L,26.75,38.05000000000001,1411.0,46.5,202.0,No Failure,2022-01-02 20:12:00,No Failure,16,32,496,546
L,26.650000000000034,37.950000000000045,1607.0,39.5,105.0,No Failure,2022-01-03 00:46:00,No Failure,14,30,494,544
M,28.25,38.85000000000002,1595.0,35.4,15.0,No Failure,2022-01-11 13:20:00,No Failure,12,28,492,542
H,24.650000000000034,35.950000000000045,1492.0,43.7,222.0,No Failure,2022-01-02 01:10:00,No Failure,10,26,490,540
L,25.850000000000023,36.25,1911.0,22.0,13.0,No Failure,2022-01-14 01:58:00,No Failure,8,24,488,538
L,27.450000000000045,38.75,1853.0,26.3,166.0,No Failure,2022-01-14 06:42:00,No Failure,6,22,486,536
L,26.55000000000001,38.05000000000001,1717.0,27.3,26.0,No Failure,2022-01-02 20:54:00,No Failure,4,20,484,534
L,30.150000000000034,38.85000000000002,1561.0,37.2,180.0,No Failure,2022-01-06 08:18:00,No Failure,2,18,482,532
M,23.650000000000034,34.150000000000034,1235.0,76.2,89.0,Power Failure,2022-01-02 05:20:00,Power Failure,180,16,480,530
L,28.450000000000045,37.650000000000034,1455.0,48.0,125.0,No Failure,2022-01-05 03:32:00,No Failure,178,14,478,528
L,27.05000000000001,36.85000000000002,1615.0,33.7,193.0,No Failure,2022-01-04 14:04:00,No Failure,176,12,476,526
L,29.150000000000034,38.75,1509.0,41.7,16.0,No Failure,2022-01-10 09:34:00,No Failure,174,10,474,524
H,26.650000000000034,38.35000000000002,1294.0,55.8,202.0,No Failure,2022-01-12 11:54:00,No Failure,172,8,472,522
L,25.25,36.55000000000001,1638.0,31.9,131.0,No Failure,2022-01-13 08:32:00,No Failure,170,6,470,520
L,28.150000000000034,39.25,1343.0,57.7,142.0,No Failure,2022-01-11 15:00:00,No Failure,168,4,468,518
M,23.450000000000045,33.950000000000045,1651.0,28.1,110.0,No Failure,2022-01-02 05:36:00,No Failure,166,2,466,516
L,29.650000000000034,37.85000000000002,1393.0,44.9,208.0,No Failure,2022-01-06 23:06:00,Tool Wear Failure,164,80,464,514
L,31.350000000000023,40.85000000000002,1322.0,59.5,71.0,No Failure,2022-01-08 07:04:00,No Failure,162,78,462,512
L,31.55000000000001,40.650000000000034,1364.0,46.3,44.0,No Failure,2022-01-07 22:48:00,No Failure,160,76,460,510
L,26.450000000000045,37.85000000000002,1522.0,40.3,32.0,No Failure,2022-01-12 17:48:00,No Failure,158,74,458,508
L,25.55000000000001,36.950000000000045,1479.0,42.1,58.0,No Failure,2022-01-01 23:04:00,No Failure,156,72,456,506
M,30.25,39.25,1675.0,29.6,128.0,No Failure,2022-01-06 10:26:00,No Failure,154,70,454,504
L,30.25,39.35000000000002,1590.0,39.9,58.0,No Failure,2022-01-06 03:58:00,No Failure,152,68,452,502
L,25.450000000000045,36.150000000000034,1502.0,43.2,139.0,No Failure,2022-01-12 21:54:00,No Failure,150,66,450,500
L,28.55000000000001,38.950000000000045,1426.0,46.2,97.0,No Failure,2022-01-09 09:14:00,No Failure,148,64,448,498
M,25.350000000000023,35.75,1544.0,37.9,136.0,No Failure,2022-01-14 00:56:00,No Failure,146,62,446,496
L,26.05000000000001,36.950000000000045,1539.0,36.5,134.0,No Failure,2022-01-13 19:42:00,No Failure,144,60,444,494
L,27.05000000000001,36.35000000000002,1867.0,27.0,138.0,No Failure,2022-01-04 07:38:00,No Failure,142,58,442,492
M,25.950000000000045,36.650000000000034,1378.0,53.5,65.0,No Failure,2022-01-14 02:40:00,No Failure,140,56,440,490
H,24.75,35.85000000000002,1318.0,53.5,88.0,No Failure,2022-01-02 16:12:00,No Failure,138,54,438,488
M,30.650000000000034,40.05000000000001,1469.0,36.9,143.0,No Failure,2022-01-08 19:28:00,No Failure,136,52,436,486
M,27.150000000000034,36.75,1858.0,24.7,101.0,No Failure,2022-01-03 22:38:00,No Failure,134,50,434,484
M,30.55000000000001,39.950000000000045,1564.0,32.1,188.0,No Failure,2022-01-08 14:38:00,No Failure,132,48,432,482
H,29.05000000000001,37.75,1362.0,50.7,25.0,No Failure,2022-01-05 13:28:00,No Failure,130,46,430,480
M,26.55000000000001,37.35000000000002,1394.0,46.0,113.0,No Failure,2022-01-12 13:28:00,No Failure,128,44,428,478
L,25.350000000000023,37.25,1803.0,24.7,98.0,No Failure,2022-01-01 18:04:00,No Failure,126,42,426,476
L,27.55000000000001,37.450000000000045,1359.0,50.7,161.0,No Failure,2022-01-03 20:42:00,No Failure,124,40,424,474
L,28.350000000000023,37.450000000000045,1760.0,30.6,213.0,No Failure,2022-01-05 04:44:00,No Failure,122,38,422,472
L,29.650000000000034,37.450000000000045,1443.0,42.7,231.0,No Failure,2022-01-07 02:08:00,No Failure,120,36,420,470
L,28.05000000000001,37.55000000000001,1656.0,34.3,120.0,No Failure,2022-01-09 20:52:00,No Failure,118,34,418,468
L,29.350000000000023,38.950000000000045,1469.0,49.5,107.0,No Failure,2022-01-09 03:42:00,No Failure,116,32,416,466
M,31.55000000000001,40.55000000000001,1469.0,48.5,147.0,No Failure,2022-01-07 15:42:00,No Failure,114,30,414,464
L,28.25,37.55000000000001,1314.0,50.2,179.0,No Failure,2022-01-05 04:14:00,No Failure,112,28,412,462
L,26.450000000000045,37.650000000000034,1497.0,41.6,118.0,No Failure,2022-01-03 00:58:00,No Failure,110,26,410,460
H,26.150000000000034,35.85000000000002,1637.0,30.8,2.0,No Failure,2022-01-03 18:36:00,No Failure,108,24,408,458
L,26.950000000000045,37.950000000000045,1894.0,24.2,22.0,No Failure,2022-01-14 10:40:00,No Failure,106,22,406,456
L,28.25,39.650000000000034,1367.0,57.2,10.0,No Failure,2022-01-12 06:30:00,No Failure,104,20,404,454
M,25.350000000000023,36.35000000000002,1496.0,42.2,22.0,No Failure,2022-01-01 14:14:00,No Failure,102,18,402,452
L,31.350000000000023,40.25,1340.0,44.5,76.0,No Failure,2022-01-07 20:18:00,No Failure,100,16,400,450
L,31.55000000000001,40.55000000000001,1395.0,53.9,123.0,No Failure,2022-01-07 20:54:00,No Failure,98,14,398,448
M,28.55000000000001,37.55000000000001,1397.0,51.3,155.0,No Failure,2022-01-05 01:26:00,No Failure,96,12,396,446
L,26.450000000000045,37.650000000000034,1842.0,20.1,142.0,No Failure,2022-01-12 16:28:00,No Failure,94,10,394,444
L,28.850000000000023,39.05000000000001,1363.0,46.3,62.0,No Failure,2022-01-10 12:56:00,No Failure,92,8,392,442
L,28.650000000000034,38.450000000000045,1666.0,36.2,144.0,No Failure,2022-01-10 19:14:00,No Failure,90,6,390,440
M,27.450000000000045,37.25,1642.0,30.3,80.0,No Failure,2022-01-04 15:24:00,No Failure,88,4,388,438
L,27.650000000000034,37.05000000000001,1491.0,47.5,216.0,No Failure,2022-01-04 20:06:00,No Failure,86,2,386,436
H,28.350000000000023,37.75,1397.0,45.9,210.0,Tool Wear Failure,2022-01-09 19:20:00,Tool Wear Failure,84,14,384,434
L,28.450000000000045,38.450000000000045,1508.0,34.8,62.0,No Failure,2022-01-10 18:14:00,No Failure,82,12,382,432
L,25.350000000000023,36.75,1729.0,28.1,189.0,No Failure,2022-01-01 22:10:00,No Failure,80,10,380,430
L,23.450000000000045,34.05000000000001,1426.0,48.6,124.0,No Failure,2022-01-02 05:48:00,No Failure,78,8,378,428
M,28.25,39.450000000000045,1359.0,55.4,160.0,No Failure,2022-01-11 15:16:00,No Failure,76,6,376,426
M,26.75,36.75,1679.0,28.7,181.0,No Failure,2022-01-01 02:12:00,No Failure,74,4,374,424
L,31.950000000000045,41.05000000000001,1412.0,47.5,150.0,No Failure,2022-01-08 00:08:00,No Failure,72,2,372,422
M,26.150000000000034,36.950000000000045,1296.0,58.7,201.0,No Failure,2022-01-13 20:34:00,Tool Wear Failure,70,102,370,420
M,28.450000000000045,37.25,1521.0,37.2,90.0,No Failure,2022-01-05 03:08:00,No Failure,68,100,368,418
M,24.75,35.950000000000045,1440.0,46.3,64.0,No Failure,2022-01-02 02:16:00,No Failure,66,98,366,416
M,30.450000000000045,38.05000000000001,1631.0,31.0,100.0,No Failure,2022-01-07 03:28:00,No Failure,64,96,364,414
L,29.55000000000001,38.950000000000045,1455.0,39.8,118.0,No Failure,2022-01-09 00:44:00,No Failure,62,94,362,412
H,30.05000000000001,38.55000000000001,1413.0,48.9,114.0,No Failure,2022-01-06 07:30:00,No Failure,60,92,360,410
M,30.75,40.25,1659.0,33.1,152.0,No Failure,2022-01-08 14:08:00,No Failure,58,90,358,408
L,31.850000000000023,41.05000000000001,1584.0,38.7,104.0,No Failure,2022-01-08 04:40:00,No Failure,56,88,356,406
M,27.450000000000045,37.150000000000034,1577.0,39.8,48.0,No Failure,2022-01-04 00:46:00,No Failure,54,86,354,404
L,27.650000000000034,37.25,1467.0,46.2,219.0,No Failure,2022-01-04 17:00:00,No Failure,52,84,352,402
L,26.950000000000045,38.35000000000002,1739.0,27.4,72.0,No Failure,2022-01-12 10:18:00,No Failure,50,82,350,400
L,30.950000000000045,38.950000000000045,1420.0,55.8,113.0,No Failure,2022-01-07 09:18:00,No Failure,48,80,348,398
L,27.650000000000034,36.950000000000045,1546.0,35.6,93.0,No Failure,2022-01-04 01:20:00,No Failure,46,78,346,396
L,25.150000000000034,36.450000000000045,1446.0,50.1,144.0,No Failure,2022-01-13 08:42:00,No Failure,44,76,344,394
L,26.950000000000045,38.150000000000034,1619.0,31.1,242.0,No Failure,2022-01-14 10:18:00,No Failure,42,74,342,392
L,27.450000000000045,38.05000000000001,1743.0,24.8,99.0,No Failure,2022-01-11 06:00:00,No Failure,40,72,340,390
H,27.950000000000045,37.25,1563.0,40.8,28.0,No Failure,2022-01-05 08:00:00,No Failure,38,70,338,388
M,28.55000000000001,37.35000000000002,1439.0,43.8,41.0,No Failure,2022-01-05 02:30:00,No Failure,36,68,336,386
M,31.650000000000034,40.55000000000001,1374.0,53.6,136.0,No Failure,2022-01-07 21:04:00,No Failure,34,66,334,384
M,29.75,39.35000000000002,1492.0,40.8,150.0,No Failure,2022-01-09 01:08:00,No Failure,32,64,332,382
M,29.850000000000023,38.55000000000001,2157.0,17.8,17.0,No Failure,2022-01-06 20:30:00,No Failure,30,62,330,380
L,30.05000000000001,39.55000000000001,1330.0,54.6,154.0,No Failure,2022-01-08 22:24:00,No Failure,28,60,328,378
L,30.05000000000001,39.650000000000034,1618.0,36.0,158.0,No Failure,2022-01-08 22:28:00,No Failure,26,58,326,376
L,27.05000000000001,36.950000000000045,1578.0,38.1,109.0,No Failure,2022-01-04 12:54:00,No Failure,24,56,324,374
M,25.850000000000023,35.450000000000045,1301.0,58.5,155.0,No Failure,2022-01-03 18:00:00,No Failure,22,54,322,372
L,26.25,35.950000000000045,1395.0,44.0,92.0,No Failure,2022-01-14 19:22:00,No Failure,20,52,320,370
M,25.75,37.450000000000045,1515.0,38.8,124.0,No Failure,2022-01-01 21:20:00,No Failure,18,50,318,368
M,25.950000000000045,35.650000000000034,1514.0,43.5,78.0,No Failure,2022-01-03 11:48:00,No Failure,16,48,316,366
H,26.650000000000034,36.450000000000045,1524.0,37.7,170.0,No Failure,2022-01-04 10:48:00,No Failure,14,46,314,364
L,28.450000000000045,38.75,1433.0,42.6,101.0,No Failure,2022-01-09 09:18:00,No Failure,12,44,312,362
L,28.350000000000023,37.650000000000034,1428.0,43.8,119.0,No Failure,2022-01-05 09:02:00,No Failure,10,42,310,360
L,29.05000000000001,38.650000000000034,1711.0,28.9,38.0,No Failure,2022-01-09 17:06:00,No Failure,8,40,308,358
H,27.75,37.05000000000001,1525.0,33.2,0.0,No Failure,2022-01-05 07:40:00,No Failure,6,38,306,356
L,25.25,36.25,1371.0,57.4,52.0,No Failure,2022-01-12 23:40:00,No Failure,4,36,304,354
L,27.450000000000045,36.85000000000002,1472.0,48.8,72.0,No Failure,2022-01-04 01:04:00,No Failure,2,34,302,352
M,29.55000000000001,37.650000000000034,1284.0,68.2,111.0,Power Failure,2022-01-07 00:44:00,Power Failure,530,32,300,350
L,28.650000000000034,40.35000000000002,1423.0,47.3,123.0,No Failure,2022-01-11 23:16:00,No Failure,528,30,298,348
H,25.55000000000001,36.25,1288.0,49.5,91.0,No Failure,2022-01-14 00:30:00,No Failure,526,28,296,346
L,26.55000000000001,37.450000000000045,1364.0,44.9,106.0,No Failure,2022-01-12 13:24:00,No Failure,524,26,294,344
L,25.350000000000023,36.25,1489.0,39.5,96.0,No Failure,2022-01-01 12:16:00,No Failure,522,24,292,342
L,26.350000000000023,38.05000000000001,1676.0,32.7,18.0,No Failure,2022-01-02 20:46:00,No Failure,520,22,290,340
M,26.55000000000001,38.150000000000034,1495.0,38.7,88.0,No Failure,2022-01-02 21:42:00,No Failure,518,20,288,338
L,27.55000000000001,38.75,1477.0,40.4,83.0,No Failure,2022-01-12 07:26:00,No Failure,516,18,286,336
L,24.450000000000045,35.35000000000002,1557.0,35.1,60.0,No Failure,2022-01-02 12:58:00,No Failure,514,16,284,334
M,31.25,39.25,1606.0,29.6,122.0,No Failure,2022-01-07 12:24:00,No Failure,512,14,282,332
L,30.05000000000001,39.650000000000034,1981.0,21.8,36.0,No Failure,2022-01-08 23:40:00,No Failure,510,12,280,330
L,25.450000000000045,36.450000000000045,1553.0,40.5,135.0,No Failure,2022-01-13 17:02:00,No Failure,508,10,278,328
L,31.450000000000045,40.35000000000002,1710.0,31.4,180.0,No Failure,2022-01-07 16:06:00,No Failure,506,8,276,326
L,29.850000000000023,38.75,1546.0,34.4,7.0,No Failure,2022-01-06 14:36:00,No Failure,504,6,274,324
L,26.950000000000045,36.05000000000001,1568.0,33.3,123.0,No Failure,2022-01-04 07:26:00,No Failure,502,4,272,322
H,30.350000000000023,39.35000000000002,1626.0,36.0,44.0,No Failure,2022-01-06 09:28:00,No Failure,500,2,270,320
M,27.55000000000001,37.05000000000001,1412.0,45.3,205.0,No Failure,2022-01-04 19:56:00,Tool Wear Failure,498,110,268,318
M,31.150000000000034,40.25,1505.0,38.9,68.0,No Failure,2022-01-08 09:50:00,No Failure,496,108,266,316
M,25.450000000000045,36.55000000000001,1408.0,54.8,147.0,No Failure,2022-01-01 12:58:00,No Failure,494,106,264,314
H,30.150000000000034,38.05000000000001,1506.0,33.8,43.0,No Failure,2022-01-07 02:44:00,No Failure,492,104,262,312
M,29.55000000000001,38.75,1644.0,32.5,201.0,No Failure,2022-01-06 00:18:00,No Failure,490,102,260,310
H,27.25,37.05000000000001,1513.0,36.1,212.0,No Failure,2022-01-03 21:24:00,No Failure,488,100,258,308
L,25.05000000000001,35.950000000000045,1446.0,38.5,164.0,No Failure,2022-01-02 14:18:00,No Failure,486,98,256,306
L,27.55000000000001,36.950000000000045,1347.0,55.3,139.0,No Failure,2022-01-04 01:54:00,No Failure,484,96,254,304
L,25.450000000000045,36.35000000000002,1574.0,37.1,121.0,No Failure,2022-01-13 16:50:00,No Failure,482,94,252,302
L,26.75,38.05000000000001,1362.0,53.0,185.0,No Failure,2022-01-02 20:02:00,No Failure,480,92,250,300
M,28.75,38.450000000000045,1709.0,29.2,158.0,No Failure,2022-01-10 11:24:00,No Failure,478,90,248,298
M,30.05000000000001,38.75,1488.0,44.2,57.0,No Failure,2022-01-06 06:44:00,No Failure,476,88,246,296
L,28.650000000000034,38.450000000000045,1551.0,34.5,153.0,No Failure,2022-01-10 11:20:00,No Failure,474,86,244,294
L,31.150000000000034,40.35000000000002,1968.0,20.6,130.0,No Failure,2022-01-08 10:34:00,No Failure,472,84,242,292
L,24.650000000000034,35.75,1718.0,25.2,148.0,No Failure,2022-01-02 11:30:00,No Failure,470,82,240,290
L,30.850000000000023,39.150000000000034,2194.0,16.5,148.0,No Failure,2022-01-07 09:44:00,No Failure,468,80,238,288
L,29.950000000000045,38.450000000000045,1459.0,47.6,93.0,No Failure,2022-01-06 07:12:00,No Failure,466,78,236,286
M,28.25,38.85000000000002,1433.0,46.1,199.0,No Failure,2022-01-11 13:00:00,No Failure,464,76,234,284
L,29.850000000000023,38.35000000000002,1978.0,22.0,106.0,No Failure,2022-01-06 15:58:00,No Failure,462,74,232,282
H,28.55000000000001,38.650000000000034,1296.0,58.2,204.0,No Failure,2022-01-09 07:36:00,No Failure,460,72,230,280
L,25.450000000000045,37.35000000000002,1617.0,36.2,42.0,No Failure,2022-01-01 17:20:00,No Failure,458,70,228,278
M,28.05000000000001,38.05000000000001,1628.0,30.3,27.0,No Failure,2022-01-10 23:20:00,No Failure,456,68,226,276
L,30.150000000000034,37.950000000000045,1653.0,29.7,34.0,No Failure,2022-01-07 02:38:00,No Failure,454,66,224,274
M,30.05000000000001,39.35000000000002,1449.0,44.5,113.0,No Failure,2022-01-06 01:56:00,No Failure,452,64,222,272
L,28.55000000000001,37.650000000000034,1406.0,48.4,151.0,No Failure,2022-01-10 00:02:00,No Failure,450,62,220,270
L,25.350000000000023,36.05000000000001,1647.0,31.3,3.0,No Failure,2022-01-01 11:06:00,No Failure,448,60,218,268
L,25.75,35.650000000000034,1459.0,46.9,85.0,No Failure,2022-01-03 17:08:00,No Failure,446,58,216,266
M,27.650000000000034,37.55000000000001,1320.0,61.7,134.0,No Failure,2022-01-11 00:44:00,No Failure,444,56,214,264
L,31.55000000000001,40.950000000000045,1683.0,28.4,46.0,No Failure,2022-01-08 06:42:00,No Failure,442,54,212,262
L,27.25,36.450000000000045,1492.0,40.5,181.0,No Failure,2022-01-04 02:28:00,No Failure,440,52,210,260
M,30.450000000000045,38.05000000000001,1563.0,39.0,97.0,No Failure,2022-01-07 03:26:00,No Failure,438,50,208,258
L,25.55000000000001,36.55000000000001,1688.0,27.2,125.0,No Failure,2022-01-13 16:54:00,No Failure,436,48,206,256
L,32.05000000000001,41.25,1421.0,43.4,56.0,No Failure,2022-01-08 04:10:00,No Failure,434,46,204,254
L,27.05000000000001,38.05000000000001,1609.0,33.2,156.0,No Failure,2022-01-14 09:10:00,No Failure,432,44,202,252
H,29.25,38.35000000000002,1536.0,39.9,201.0,No Failure,2022-01-10 06:14:00,No Failure,430,42,200,250
M,28.350000000000023,37.650000000000034,1370.0,55.9,143.0,No Failure,2022-01-05 03:46:00,No Failure,428,40,198,248
M,31.75,41.05000000000001,1624.0,39.8,107.0,No Failure,2022-01-07 23:38:00,No Failure,426,38,196,246
L,26.950000000000045,38.35000000000002,1736.0,26.9,74.0,No Failure,2022-01-12 10:20:00,No Failure,424,36,194,244
L,25.55000000000001,36.650000000000034,1515.0,40.1,82.0,No Failure,2022-01-01 23:22:00,No Failure,422,34,192,242
L,28.950000000000045,38.55000000000001,1376.0,49.1,0.0,No Failure,2022-01-09 16:34:00,No Failure,420,32,190,240
M,25.450000000000045,34.950000000000045,1526.0,39.1,39.0,No Failure,2022-01-03 13:44:00,No Failure,418,30,188,238
L,31.850000000000023,40.950000000000045,1648.0,35.7,119.0,No Failure,2022-01-08 04:54:00,No Failure,416,28,186,236
L,29.450000000000045,38.75,1538.0,40.4,13.0,No Failure,2022-01-10 06:48:00,No Failure,414,26,184,234
L,27.05000000000001,36.35000000000002,1442.0,46.5,11.0,No Failure,2022-01-04 02:58:00,No Failure,412,24,182,232
L,29.350000000000023,38.35000000000002,1589.0,36.7,118.0,No Failure,2022-01-05 14:46:00,No Failure,410,22,180,230
L,26.05000000000001,36.25,1666.0,34.6,74.0,No Failure,2022-01-01 06:22:00,No Failure,408,20,178,228
M,28.650000000000034,38.150000000000034,1458.0,43.4,0.0,No Failure,2022-01-09 05:00:00,No Failure,406,18,176,226
L,28.05000000000001,38.05000000000001,1600.0,31.5,23.0,No Failure,2022-01-10 23:16:00,No Failure,404,16,174,224
L,27.650000000000034,37.450000000000045,1526.0,41.7,85.0,No Failure,2022-01-11 00:08:00,No Failure,402,14,172,222
M,28.650000000000034,39.05000000000001,1365.0,51.7,111.0,No Failure,2022-01-10 16:14:00,No Failure,400,12,170,220
M,30.75,40.35000000000002,1679.0,30.9,79.0,No Failure,2022-01-08 13:12:00,No Failure,398,10,168,218
H,27.150000000000034,38.25,1548.0,41.6,25.0,No Failure,2022-01-14 04:52:00,No Failure,396,8,166,216
L,28.950000000000045,38.05000000000001,1455.0,55.3,9.0,No Failure,2022-01-10 01:00:00,No Failure,394,6,164,214
L,30.950000000000045,39.05000000000001,1628.0,35.2,23.0,No Failure,2022-01-07 11:14:00,No Failure,392,4,162,212
L,29.850000000000023,37.75,1407.0,52.8,154.0,No Failure,2022-01-07 01:14:00,No Failure,390,2,160,210
M,28.05000000000001,38.150000000000034,1704.0,29.4,221.0,No Failure,2022-01-11 01:50:00,Tool Wear Failure,388,1694,158,208
L,26.450000000000045,37.450000000000045,1423.0,42.7,82.0,No Failure,2022-01-12 15:42:00,No Failure,386,1692,156,206
L,25.150000000000034,35.85000000000002,1420.0,46.5,73.0,No Failure,2022-01-13 10:38:00,No Failure,384,1690,154,204
L,24.950000000000045,35.75,1492.0,39.4,171.0,No Failure,2022-01-13 11:58:00,No Failure,382,1688,152,202
L,27.150000000000034,38.450000000000045,1480.0,45.1,107.0,No Failure,2022-01-14 05:56:00,No Failure,380,1686,150,200
M,31.55000000000001,40.85000000000002,1303.0,54.4,2.0,No Failure,2022-01-07 22:14:00,No Failure,378,1684,148,198
L,26.650000000000034,36.25,1737.0,27.7,130.0,No Failure,2022-01-01 04:22:00,No Failure,376,1682,146,196
M,26.950000000000045,37.950000000000045,1412.0,44.4,24.0,No Failure,2022-01-14 10:42:00,No Failure,374,1680,144,194
M,29.05000000000001,38.150000000000034,1357.0,54.5,49.0,No Failure,2022-01-05 13:46:00,No Failure,372,1678,142,192
L,26.75,36.05000000000001,2384.0,15.0,19.0,No Failure,2022-01-04 08:42:00,No Failure,370,1676,140,190
L,30.650000000000034,38.75,1708.0,29.8,42.0,No Failure,2022-01-07 08:22:00,No Failure,368,1674,138,188
L,25.450000000000045,36.950000000000045,1503.0,38.9,157.0,No Failure,2022-01-01 21:42:00,No Failure,366,1672,136,186
L,30.450000000000045,39.75,1397.0,46.9,82.0,No Failure,2022-01-08 16:02:00,No Failure,364,1670,134,184
L,31.850000000000023,40.85000000000002,2354.0,15.0,117.0,No Failure,2022-01-08 04:52:00,No Failure,362,1668,132,182
L,30.350000000000023,38.150000000000034,1523.0,36.0,72.0,No Failure,2022-01-07 05:54:00,No Failure,360,1666,130,180
L,25.75,36.650000000000034,1386.0,48.6,75.0,No Failure,2022-01-13 18:54:00,No Failure,358,1664,128,178
M,29.950000000000045,39.35000000000002,1383.0,53.6,108.0,No Failure,2022-01-06 01:52:00,No Failure,356,1662,126,176
M,25.950000000000045,35.450000000000045,1565.0,36.3,140.0,No Failure,2022-01-03 12:30:00,No Failure,354,1660,124,174
L,29.05000000000001,37.75,1449.0,45.5,23.0,No Failure,2022-01-05 13:26:00,No Failure,352,1658,122,172
L,26.850000000000023,37.25,1419.0,48.3,91.0,No Failure,2022-01-01 01:04:00,No Failure,350,1656,120,170
M,25.950000000000045,35.650000000000034,1525.0,35.9,132.0,No Failure,2022-01-14 19:56:00,No Failure,348,1654,118,168
M,26.75,36.55000000000001,1772.0,28.4,177.0,No Failure,2022-01-04 10:52:00,No Failure,346,1652,116,166
L,26.150000000000034,36.35000000000002,1575.0,41.2,105.0,No Failure,2022-01-01 06:42:00,No Failure,344,1650,114,164
M,29.650000000000034,38.05000000000001,1437.0,42.3,0.0,No Failure,2022-01-06 23:16:00,No Failure,342,1648,112,162
L,29.75,38.85000000000002,1541.0,38.9,193.0,No Failure,2022-01-05 21:22:00,No Failure,340,1646,110,160
L,25.75,37.55000000000001,2194.0,16.8,27.0,No Failure,2022-01-01 20:02:00,No Failure,338,1644,108,158
L,25.850000000000023,36.25,1432.0,46.2,11.0,No Failure,2022-01-14 01:56:00,No Failure,336,1642,106,156
L,25.850000000000023,35.650000000000034,1567.0,36.4,109.0,No Failure,2022-01-03 06:40:00,No Failure,334,1640,104,154
M,25.05000000000001,35.75,1530.0,35.9,197.0,No Failure,2022-01-13 12:22:00,No Failure,332,1638,102,152
L,26.75,36.05000000000001,1828.0,23.8,26.0,No Failure,2022-01-04 08:48:00,No Failure,330,1636,100,150
H,26.350000000000023,36.55000000000001,1450.0,43.9,28.0,No Failure,2022-01-14 18:40:00,No Failure,328,1634,98,148
M,31.150000000000034,39.650000000000034,1583.0,33.3,72.0,No Failure,2022-01-07 17:30:00,No Failure,326,1632,96,146
L,29.350000000000023,38.650000000000034,1367.0,49.0,193.0,No Failure,2022-01-05 15:50:00,No Failure,324,1630,94,144
M,26.350000000000023,36.650000000000034,1557.0,36.0,21.0,No Failure,2022-01-14 18:34:00,No Failure,322,1628,92,142
L,25.55000000000001,36.950000000000045,1435.0,38.8,165.0,No Failure,2022-01-01 21:50:00,No Failure,320,1626,90,140
L,29.150000000000034,38.450000000000045,1510.0,38.5,47.0,No Failure,2022-01-05 16:44:00,No Failure,318,1624,88,138
L,25.350000000000023,36.650000000000034,1587.0,34.9,166.0,No Failure,2022-01-13 03:54:00,No Failure,316,1622,86,136
H,25.950000000000045,36.150000000000034,1530.0,42.0,184.0,No Failure,2022-01-03 04:44:00,No Failure,314,1620,84,134
L,27.75,39.150000000000034,1429.0,58.2,103.0,No Failure,2022-01-11 20:04:00,No Failure,312,1618,82,132
L,28.05000000000001,38.450000000000045,1431.0,42.3,113.0,No Failure,2022-01-11 03:20:00,No Failure,310,1616,80,130
L,29.350000000000023,38.55000000000001,1942.0,20.5,155.0,No Failure,2022-01-10 02:46:00,No Failure,308,1614,78,128
M,28.25,39.450000000000045,1518.0,36.4,53.0,No Failure,2022-01-11 19:24:00,No Failure,306,1612,76,126
L,29.55000000000001,38.450000000000045,1624.0,34.5,216.0,No Failure,2022-01-05 18:54:00,No Failure,304,1610,74,124
